Asset,T Ret,T <=2019,T >=2020,T Sharpe,T Mean,T Std,T-P Ret,T-P <=2019,T-P >=2020,T-P Sharpe,T-P Mean,T-P Std,Trades,Start,End
DGX,1.59,0.73,0.85,0.30,0.02,0.05,0.51,0.13,0.38,0.21,0.01,0.00,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ICE,1.78,0.47,1.32,0.30,0.02,0.06,0.51,-0.43,0.93,0.19,0.01,0.01,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PNR,1.93,0.74,1.19,0.30,0.02,0.06,1.21,0.64,0.57,0.25,0.01,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PTC,2.02,1.45,0.58,0.30,0.02,0.06,-0.06,0.35,-0.41,0.16,0.01,0.00,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
COP,2.07,0.93,1.14,0.30,0.02,0.07,0.88,0.89,-0.01,0.24,0.02,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CB,1.60,0.52,1.08,0.30,0.02,0.05,0.50,0.04,0.46,0.20,0.01,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TRGP,2.93,2.05,0.88,0.30,0.03,0.10,1.22,2.09,-0.87,0.23,0.02,-0.01,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CMS,1.03,0.60,0.44,0.30,0.01,0.04,0.04,-0.23,0.27,0.21,0.01,-0.01,137.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PM,1.70,1.25,0.45,0.30,0.02,0.06,1.34,1.30,0.04,0.27,0.01,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LULU,2.39,0.73,1.66,0.29,0.02,0.08,-0.22,-0.94,0.72,0.16,0.01,0.00,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ABBV,1.73,0.57,1.16,0.29,0.02,0.06,0.26,-0.16,0.42,0.18,0.01,0.00,133.00,2013-11-18 00:00:00,2023-11-16 00:00:00
