Asset,SumT:All,SumT:<=2019,SumT:>=2020,SumT:Longs,SumT:Shorts,SumT-P:All,SumT-P:<=2019,SumT-P:>=2020,SumT-P:Longs,SumT-P:Shorts,SharpeT:All,SharpeT:<=2019,SharpeT:>=2020,SharpeT:Longs,SharpeT:Shorts,SharpeT-P:All,SharpeT-P:<=2019,SharpeT-P:>=2020,SharpeT-P:Longs,SharpeT-P:Shorts,%Win:All,%Win:<=2019,%Win:>=2020,%Win:Longs,%Win:Shorts,Mean:All,Mean:<=2019,Mean:>=2020,Mean:Longs,Mean:Shorts,Std:All,Std:<=2019,Std:>=2020,Std:Longs,Std:Shorts,No:All,No:<=2019,No:>=2020,No:Longs,No:Shorts,Stops,Start,End
DVN,2.38,1.51,0.86,1.80,0.58,1.31,2.03,-0.72,1.28,-0.15,0.10,0.12,0.07,0.12,0.06,0.08,0.13,0.03,0.09,-0.01,0.53,0.53,0.52,0.54,0.51,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.03,0.03,105.00,58.00,48.00,58.00,47.00,0.00,11/18/13,11/16/23
CMS,1.03,0.60,0.44,0.87,0.16,0.04,-0.23,0.27,0.47,-0.16,0.08,0.11,0.07,0.15,0.03,0.06,0.07,0.06,0.08,-0.02,0.54,0.54,0.52,0.56,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,90.00,57.00,33.00,54.00,36.00,0.00,11/18/13,11/16/23
LYB,1.66,0.81,0.86,0.80,0.87,0.76,0.53,0.23,0.83,0.74,0.07,0.07,0.07,0.06,0.08,0.05,0.06,0.05,0.06,0.06,0.50,0.50,0.50,0.51,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,116.00,69.00,48.00,65.00,51.00,0.00,11/18/13,11/16/23
KIM,1.20,0.58,0.62,0.70,0.50,0.68,0.52,0.16,0.71,0.07,0.07,0.07,0.07,0.08,0.05,0.06,0.07,0.05,0.08,0.01,0.51,0.51,0.50,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,106.00,64.00,42.00,52.00,54.00,0.00,11/18/13,11/16/23
CMCSA,1.08,0.54,0.54,0.97,0.11,0.19,-0.15,0.34,0.87,-0.52,0.07,0.07,0.07,0.11,0.02,0.05,0.04,0.06,0.10,-0.07,0.52,0.51,0.52,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,105.00,63.00,43.00,57.00,48.00,0.00,11/18/13,11/16/23
PSA,0.75,0.38,0.38,1.07,-0.32,-0.04,0.10,-0.14,0.54,-1.16,0.06,0.06,0.07,0.17,-0.06,0.04,0.04,0.04,0.09,-0.19,0.53,0.52,0.55,0.58,0.46,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,93.00,59.00,34.00,47.00,46.00,0.00,11/18/13,11/16/23
PTC,2.02,1.45,0.58,1.77,0.26,-0.06,0.35,-0.41,1.48,-0.29,0.11,0.14,0.07,0.15,0.03,0.06,0.09,0.03,0.13,-0.03,0.54,0.56,0.52,0.56,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,108.00,63.00,45.00,66.00,42.00,0.00,11/18/13,11/16/23
MO,1.06,0.65,0.42,0.35,0.71,0.60,0.42,0.18,0.41,0.86,0.08,0.09,0.07,0.07,0.09,0.07,0.08,0.05,0.08,0.10,0.51,0.52,0.50,0.53,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,94.00,55.00,39.00,51.00,43.00,0.00,11/18/13,11/15/23
EXC,1.22,0.75,0.47,1.17,0.05,0.18,0.24,-0.06,0.56,-0.47,0.08,0.10,0.07,0.14,0.01,0.06,0.07,0.04,0.07,-0.07,0.52,0.51,0.52,0.55,0.46,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,104.00,60.00,45.00,52.00,52.00,0.00,11/18/13,11/16/23
JBHT,1.46,0.95,0.51,1.16,0.29,0.24,0.39,-0.15,0.83,-0.07,0.09,0.11,0.07,0.13,0.04,0.06,0.08,0.04,0.09,-0.01,0.50,0.49,0.50,0.51,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,101.00,60.00,42.00,53.00,48.00,0.00,11/18/13,11/16/23
VTR,1.54,1.00,0.55,1.27,0.28,1.24,1.09,0.16,0.78,-0.21,0.09,0.13,0.07,0.14,0.04,0.09,0.14,0.06,0.09,-0.02,0.53,0.54,0.50,0.57,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,88.00,53.00,35.00,44.00,44.00,0.00,11/18/13,11/16/23
PXD,1.36,0.42,0.93,1.17,0.19,0.27,0.49,-0.23,1.23,-0.71,0.05,0.03,0.07,0.08,0.01,0.03,0.03,0.03,0.08,-0.05,0.49,0.47,0.50,0.51,0.45,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.02,0.03,120.00,75.00,46.00,65.00,55.00,0.00,11/18/13,11/16/23
SYY,1.14,0.68,0.45,0.78,0.35,-0.07,-0.27,0.21,0.79,-0.01,0.08,0.11,0.07,0.10,0.07,0.06,0.06,0.06,0.10,0.00,0.52,0.52,0.50,0.52,0.51,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,84.00,52.00,33.00,49.00,35.00,0.00,11/18/13,11/16/23
ADBE,1.43,0.98,0.45,1.49,-0.06,-1.45,-0.99,-0.46,0.90,-1.04,0.08,0.10,0.07,0.15,-0.01,0.03,0.02,0.03,0.09,-0.14,0.52,0.52,0.51,0.54,0.45,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,102.00,67.00,35.00,60.00,42.00,0.00,11/18/13,11/16/23
JNJ,0.64,0.34,0.30,0.72,-0.08,-0.02,-0.11,0.09,0.51,-0.54,0.07,0.06,0.07,0.14,-0.02,0.04,0.04,0.05,0.11,-0.11,0.51,0.51,0.52,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,97.00,62.00,36.00,51.00,46.00,0.00,11/18/13,11/15/23
DTE,0.76,0.28,0.48,0.65,0.11,-0.10,-0.35,0.25,0.61,-0.25,0.06,0.06,0.07,0.10,0.02,0.04,0.02,0.05,0.10,-0.04,0.51,0.50,0.51,0.52,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,102.00,66.00,36.00,55.00,47.00,0.00,11/18/13,11/16/23
TDY,1.18,0.70,0.48,1.27,-0.09,-0.66,-0.79,0.14,0.75,-0.70,0.08,0.09,0.07,0.15,-0.01,0.04,0.02,0.05,0.09,-0.11,0.52,0.53,0.50,0.56,0.43,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,94.00,48.00,46.00,51.00,43.00,0.00,11/18/13,11/16/23
MA,0.90,0.42,0.48,0.76,0.14,-1.13,-1.09,-0.05,0.78,-0.65,0.06,0.06,0.07,0.10,0.02,0.02,-0.01,0.04,0.10,-0.09,0.51,0.49,0.53,0.52,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,101.00,59.00,42.00,57.00,44.00,0.00,11/18/13,11/16/23
EMN,1.23,0.70,0.53,0.89,0.34,0.71,0.60,0.11,0.88,-0.02,0.07,0.07,0.07,0.09,0.04,0.06,0.07,0.05,0.09,0.00,0.49,0.49,0.48,0.51,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,116.00,70.00,46.00,64.00,52.00,0.00,11/18/13,11/16/23
LNT,0.82,0.32,0.50,0.54,0.28,-0.06,-0.40,0.34,0.58,-0.01,0.06,0.05,0.07,0.07,0.04,0.03,0.01,0.06,0.08,0.00,0.52,0.52,0.51,0.54,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,118.00,74.00,45.00,65.00,53.00,0.00,11/18/13,11/16/23
AVB,0.77,0.22,0.55,0.69,0.08,0.08,-0.34,0.42,0.43,-0.65,0.05,0.03,0.07,0.11,0.01,0.03,0.00,0.06,0.07,-0.06,0.52,0.51,0.54,0.57,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,106.00,65.00,41.00,48.00,58.00,0.00,11/18/13,11/16/23
ARE,0.47,0.05,0.42,0.38,0.09,-0.35,-0.89,0.54,0.60,-0.46,0.04,0.01,0.07,0.05,0.02,0.02,-0.04,0.07,0.08,-0.07,0.49,0.47,0.54,0.50,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,95.00,60.00,35.00,53.00,42.00,0.00,11/18/13,11/16/23
MSI,1.03,0.62,0.42,0.92,0.11,-0.86,-0.37,-0.49,0.83,-0.38,0.08,0.09,0.07,0.11,0.02,0.03,0.04,0.02,0.10,-0.06,0.51,0.52,0.51,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,105.00,60.00,45.00,64.00,41.00,0.00,11/18/13,11/16/23
RF,1.82,1.22,0.60,0.96,0.86,0.65,0.55,0.10,0.67,0.88,0.09,0.12,0.07,0.08,0.11,0.07,0.09,0.05,0.06,0.11,0.51,0.50,0.51,0.50,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,94.00,58.00,36.00,51.00,43.00,0.00,11/18/13,11/16/23
IVZ,1.98,1.18,0.80,0.65,1.33,2.11,1.70,0.41,0.65,1.43,0.08,0.10,0.07,0.08,0.08,0.08,0.12,0.05,0.08,0.09,0.50,0.50,0.49,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,111.00,66.00,45.00,50.00,61.00,0.00,11/18/13,11/16/23
ON,2.99,1.93,1.06,2.12,0.87,-0.43,0.28,-0.71,1.55,0.41,0.09,0.14,0.07,0.12,0.06,0.05,0.09,0.02,0.09,0.03,0.49,0.52,0.46,0.52,0.45,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.03,112.00,62.00,51.00,69.00,43.00,0.00,11/18/13,11/15/23
LIN,0.43,0.03,0.40,0.41,0.02,-1.00,-0.55,-0.45,0.71,-0.61,0.03,0.00,0.07,0.05,0.00,-0.01,-0.03,0.02,0.09,-0.10,0.51,0.50,0.52,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,127.00,78.00,49.00,74.00,53.00,0.00,11/18/13,11/15/23
MMM,1.28,0.80,0.48,0.60,0.68,1.27,0.49,0.78,0.61,0.37,0.09,0.13,0.06,0.09,0.10,0.09,0.12,0.08,0.09,0.06,0.52,0.55,0.50,0.53,0.51,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,105.00,59.00,47.00,52.00,53.00,0.00,11/18/13,11/16/23
AME,0.80,0.31,0.49,0.65,0.14,-0.62,-0.49,-0.14,0.62,-0.35,0.06,0.05,0.06,0.09,0.02,0.02,0.01,0.03,0.08,-0.04,0.51,0.49,0.52,0.51,0.50,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,107.00,61.00,46.00,58.00,49.00,0.00,11/18/13,11/16/23
ILMN,1.86,1.26,0.60,1.64,0.22,0.93,-0.46,1.39,0.97,-0.67,0.08,0.10,0.06,0.14,0.02,0.07,0.05,0.09,0.09,-0.06,0.51,0.51,0.52,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,98.00,64.00,34.00,49.00,49.00,0.00,11/18/13,11/15/23
ADP,0.91,0.59,0.32,1.02,-0.11,-0.61,-0.38,-0.23,0.71,-0.76,0.07,0.08,0.06,0.12,-0.02,0.03,0.03,0.03,0.09,-0.16,0.50,0.49,0.50,0.54,0.41,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,101.00,70.00,31.00,53.00,48.00,0.00,11/18/13,11/16/23
LMT,0.92,0.51,0.41,0.84,0.08,-0.53,-0.56,0.03,0.61,-0.50,0.07,0.08,0.06,0.12,0.01,0.03,0.02,0.04,0.09,-0.07,0.52,0.53,0.52,0.56,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,108.00,64.00,45.00,59.00,49.00,0.00,11/18/13,11/16/23
WEC,1.09,0.64,0.45,0.66,0.43,0.13,-0.15,0.28,0.52,0.26,0.08,0.11,0.06,0.11,0.06,0.05,0.07,0.05,0.09,0.04,0.54,0.54,0.55,0.58,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,95.00,54.00,41.00,52.00,43.00,0.00,11/18/13,11/16/23
CCL,1.66,0.50,1.16,1.18,0.48,1.06,-0.04,1.10,1.22,-0.23,0.05,0.06,0.06,0.08,0.03,0.05,0.03,0.06,0.08,-0.01,0.49,0.47,0.51,0.49,0.48,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.04,113.00,71.00,43.00,58.00,55.00,0.00,11/18/13,11/16/23
AVY,1.50,1.02,0.48,1.26,0.23,-0.23,-0.06,-0.17,0.82,-0.18,0.09,0.12,0.06,0.13,0.04,0.05,0.07,0.03,0.08,-0.03,0.52,0.52,0.52,0.54,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,114.00,63.00,52.00,67.00,47.00,0.00,11/18/13,11/16/23
CEG,0.31,0.00,0.31,0.61,-0.30,-1.00,0.00,-1.00,0.19,-0.81,0.06,0.00,0.06,0.20,-0.17,-0.05,0.00,-0.05,0.07,-0.38,0.54,0.00,0.54,0.59,0.44,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,17.00,0.00,17.00,10.00,7.00,0.00,01/19/22,11/15/23
CTAS,1.05,0.48,0.57,0.88,0.17,-1.61,-1.20,-0.41,0.67,-0.15,0.07,0.10,0.06,0.11,0.03,0.01,0.01,0.01,0.08,-0.02,0.52,0.51,0.53,0.55,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,95.00,47.00,48.00,63.00,32.00,0.00,11/18/13,11/16/23
NFLX,2.81,1.98,0.84,2.49,0.32,-0.43,-0.41,-0.02,1.31,-0.43,0.10,0.14,0.06,0.17,0.03,0.06,0.08,0.03,0.09,-0.04,0.48,0.50,0.46,0.52,0.43,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.02,0.04,88.00,49.00,39.00,49.00,39.00,0.00,11/18/13,11/16/23
PARA,1.47,0.92,0.55,0.63,0.84,2.08,1.21,0.87,0.88,0.61,0.08,0.11,0.06,0.08,0.09,0.09,0.12,0.07,0.10,0.07,0.52,0.53,0.52,0.52,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,85.00,52.00,33.00,42.00,43.00,0.00,11/18/13,11/16/23
ABNB,0.72,0.00,0.72,0.79,-0.07,0.43,0.00,0.43,0.60,-0.55,0.06,0.00,0.06,0.14,-0.01,0.05,0.00,0.05,0.11,-0.09,0.49,0.00,0.49,0.51,0.48,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,35.00,0.00,35.00,16.00,19.00,0.00,12/10/20,11/16/23
FAST,0.98,0.56,0.42,0.76,0.22,-0.34,-0.01,-0.33,0.63,-0.33,0.06,0.06,0.06,0.10,0.03,0.03,0.04,0.02,0.08,-0.04,0.49,0.49,0.49,0.50,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,97.00,60.00,38.00,46.00,51.00,0.00,11/18/13,11/16/23
KLAC,1.71,1.10,0.60,1.62,0.09,-1.21,-0.20,-1.01,1.06,-0.93,0.08,0.10,0.06,0.14,0.01,0.03,0.05,0.01,0.09,-0.08,0.52,0.54,0.50,0.57,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,112.00,58.00,55.00,54.00,58.00,0.00,11/18/13,11/16/23
AOS,1.85,1.40,0.45,0.64,1.22,0.45,0.74,-0.28,0.75,1.49,0.12,0.17,0.06,0.08,0.16,0.09,0.14,0.02,0.10,0.19,0.52,0.54,0.50,0.51,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,101.00,54.00,47.00,57.00,44.00,0.00,11/18/13,11/16/23
BALL,1.00,0.47,0.52,0.91,0.09,-0.10,-0.57,0.47,0.90,-0.71,0.06,0.06,0.06,0.11,0.01,0.03,0.01,0.06,0.11,-0.08,0.51,0.50,0.52,0.54,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,119.00,71.00,48.00,54.00,65.00,0.00,11/18/13,11/16/23
SWK,1.14,0.66,0.48,0.86,0.28,0.51,-0.12,0.64,0.62,-0.50,0.07,0.09,0.06,0.11,0.04,0.06,0.06,0.07,0.08,-0.05,0.51,0.51,0.50,0.52,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,104.00,68.00,36.00,52.00,52.00,0.00,11/18/13,11/16/23
MTD,1.59,1.17,0.43,1.35,0.24,-0.21,-0.14,-0.07,0.85,-0.10,0.10,0.15,0.06,0.15,0.04,0.06,0.08,0.04,0.09,-0.01,0.55,0.55,0.53,0.56,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,83.00,50.00,34.00,48.00,35.00,0.00,11/18/13,11/16/23
MOH,1.67,1.19,0.48,1.42,0.25,-1.45,-0.68,-0.77,1.09,-0.35,0.08,0.10,0.06,0.12,0.03,0.03,0.05,0.01,0.09,-0.04,0.52,0.52,0.51,0.53,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,101.00,61.00,40.00,60.00,41.00,0.00,11/18/13,11/16/23
NVR,1.09,0.45,0.64,1.02,0.07,-1.28,-1.11,-0.17,0.87,-0.61,0.05,0.05,0.06,0.11,0.01,0.01,-0.02,0.03,0.09,-0.06,0.51,0.52,0.49,0.54,0.45,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,99.00,59.00,40.00,50.00,49.00,0.00,11/18/13,11/16/23
SBAC,1.13,0.67,0.46,1.00,0.13,-0.19,-0.42,0.23,0.79,-0.44,0.07,0.08,0.06,0.12,0.02,0.04,0.03,0.05,0.10,-0.05,0.53,0.53,0.53,0.55,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,109.00,66.00,44.00,58.00,51.00,0.00,11/18/13,11/16/23
TER,1.66,1.04,0.61,0.96,0.70,-0.72,-0.61,-0.11,0.93,0.50,0.08,0.12,0.06,0.10,0.07,0.04,0.06,0.03,0.10,0.05,0.52,0.55,0.49,0.53,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,89.00,51.00,38.00,47.00,42.00,0.00,11/18/13,11/16/23
CPT,0.92,0.45,0.47,1.08,-0.16,0.17,-0.16,0.33,0.58,-0.95,0.06,0.06,0.06,0.14,-0.02,0.04,0.04,0.05,0.08,-0.12,0.50,0.50,0.52,0.56,0.41,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,101.00,62.00,39.00,50.00,51.00,0.00,11/18/13,11/15/23
AMD,3.20,2.42,0.78,2.65,0.55,-1.97,-1.22,-0.75,1.67,-0.90,0.10,0.12,0.06,0.15,0.04,0.04,0.06,0.01,0.10,-0.04,0.49,0.50,0.48,0.51,0.47,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,101.00,64.00,38.00,55.00,46.00,0.00,11/18/13,11/16/23
CDAY,0.86,0.19,0.67,1.16,-0.29,-0.59,-0.80,0.21,0.74,-1.20,0.06,0.05,0.06,0.14,-0.04,0.02,-0.04,0.04,0.10,-0.16,0.52,0.54,0.50,0.57,0.44,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.02,0.03,55.00,19.00,37.00,28.00,27.00,0.00,04/26/18,11/16/23
MSFT,0.88,0.45,0.42,1.42,-0.54,-1.82,-1.12,-0.69,0.98,-1.84,0.06,0.06,0.06,0.14,-0.11,0.00,-0.01,0.00,0.10,-0.31,0.51,0.51,0.51,0.54,0.44,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,112.00,66.00,46.00,66.00,46.00,0.00,11/18/13,11/16/23
ALLE,1.61,1.15,0.46,1.31,0.30,0.50,0.14,0.35,0.90,0.02,0.10,0.15,0.06,0.15,0.04,0.07,0.10,0.05,0.11,0.00,0.53,0.53,0.53,0.55,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,95.00,53.00,42.00,54.00,41.00,0.00,11/18/13,11/16/23
PAYC,2.03,1.45,0.58,2.61,-0.58,-1.36,-1.77,0.41,1.89,-2.02,0.08,0.10,0.06,0.16,-0.07,0.03,0.02,0.05,0.12,-0.22,0.52,0.53,0.51,0.57,0.43,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,98.00,62.00,36.00,56.00,42.00,0.00,04/15/14,11/16/23
ECL,0.87,0.46,0.41,0.48,0.39,0.01,-0.18,0.19,0.77,-0.09,0.07,0.09,0.06,0.08,0.06,0.05,0.05,0.05,0.12,0.00,0.52,0.53,0.50,0.54,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,106.00,63.00,43.00,54.00,52.00,0.00,11/18/13,11/16/23
GRMN,1.15,0.81,0.34,1.34,-0.19,-0.17,-0.05,-0.12,0.97,-1.20,0.07,0.08,0.06,0.14,-0.03,0.04,0.05,0.03,0.11,-0.16,0.50,0.48,0.52,0.53,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.02,0.01,120.00,71.00,50.00,59.00,61.00,0.00,11/18/13,11/16/23
NTRS,1.29,0.83,0.45,0.49,0.79,0.56,0.15,0.41,0.85,0.59,0.07,0.09,0.06,0.06,0.10,0.06,0.06,0.06,0.09,0.07,0.52,0.51,0.54,0.52,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,122.00,72.00,50.00,69.00,53.00,0.00,11/18/13,11/16/23
MLM,1.76,1.29,0.47,1.52,0.25,-0.25,0.08,-0.33,0.99,-0.33,0.09,0.11,0.06,0.13,0.03,0.05,0.06,0.02,0.09,-0.03,0.51,0.51,0.50,0.52,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,100.00,58.00,43.00,52.00,48.00,0.00,11/18/13,11/16/23
UHS,0.79,0.35,0.44,0.57,0.23,-0.29,-0.43,0.13,0.91,-0.24,0.04,0.03,0.06,0.07,0.02,0.02,0.00,0.05,0.10,-0.02,0.50,0.50,0.51,0.51,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,102.00,66.00,36.00,48.00,54.00,0.00,11/18/13,11/16/23
ZION,2.02,1.23,0.79,1.30,0.72,1.08,0.57,0.51,0.83,0.41,0.08,0.14,0.06,0.12,0.06,0.07,0.11,0.05,0.08,0.03,0.51,0.53,0.47,0.52,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,100.00,51.00,49.00,50.00,50.00,0.00,11/18/13,11/15/23
WRK,1.57,1.00,0.57,0.99,0.58,1.36,1.15,0.21,0.87,0.18,0.08,0.10,0.06,0.11,0.06,0.08,0.11,0.04,0.09,0.02,0.49,0.50,0.48,0.51,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,95.00,47.00,48.00,46.00,49.00,0.00,06/24/15,11/16/23
COF,1.42,0.83,0.59,0.98,0.45,0.39,0.34,0.05,1.07,0.11,0.07,0.09,0.06,0.09,0.05,0.05,0.07,0.04,0.09,0.01,0.51,0.51,0.51,0.51,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.02,111.00,68.00,43.00,66.00,45.00,0.00,11/18/13,11/16/23
GOOGL,1.12,0.60,0.52,1.26,-0.14,-0.92,-0.51,-0.41,1.00,-1.01,0.06,0.06,0.06,0.11,-0.02,0.01,0.01,0.01,0.09,-0.13,0.50,0.48,0.53,0.52,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,119.00,69.00,50.00,71.00,48.00,0.00,11/18/13,11/16/23
CTVA,0.49,0.02,0.47,0.46,0.03,-0.25,0.03,-0.28,0.66,-0.48,0.05,0.02,0.06,0.08,0.01,0.02,0.02,0.02,0.12,-0.10,0.49,0.48,0.50,0.52,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,54.00,8.00,47.00,29.00,25.00,0.00,05/24/19,11/16/23
CTSH,1.09,0.67,0.42,1.18,-0.10,0.31,0.27,0.03,1.03,-1.05,0.06,0.07,0.05,0.13,-0.01,0.05,0.06,0.04,0.11,-0.13,0.51,0.52,0.51,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,117.00,71.00,46.00,64.00,53.00,0.00,11/18/13,11/16/23
J,1.59,1.16,0.44,0.96,0.63,0.46,0.66,-0.20,0.74,0.27,0.09,0.13,0.05,0.12,0.07,0.06,0.10,0.02,0.09,0.03,0.52,0.53,0.49,0.52,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,94.00,53.00,41.00,48.00,46.00,0.00,11/18/13,11/16/23
GNRC,0.88,0.17,0.72,0.37,0.51,-0.87,-0.82,-0.05,1.09,-0.36,0.04,0.02,0.05,0.03,0.04,0.01,-0.02,0.03,0.09,-0.02,0.48,0.47,0.51,0.50,0.46,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.02,0.03,106.00,68.00,38.00,56.00,50.00,0.00,11/18/13,11/16/23
KR,2.01,1.64,0.37,1.59,0.42,0.85,1.17,-0.32,1.04,0.12,0.12,0.16,0.05,0.16,0.06,0.09,0.14,0.02,0.10,0.02,0.52,0.54,0.49,0.54,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,112.00,66.00,47.00,63.00,49.00,0.00,11/18/13,11/15/23
DRI,1.64,1.05,0.59,1.37,0.27,-0.20,0.13,-0.33,1.00,-0.15,0.08,0.11,0.05,0.11,0.03,0.05,0.07,0.02,0.08,-0.01,0.50,0.53,0.46,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,102.00,59.00,43.00,62.00,40.00,0.00,11/18/13,11/16/23
A,0.62,0.28,0.34,0.81,-0.19,-0.79,-0.64,-0.15,0.78,-0.98,0.04,0.03,0.05,0.10,-0.03,0.01,-0.01,0.03,0.09,-0.15,0.51,0.50,0.54,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,110.00,76.00,35.00,61.00,49.00,0.00,11/18/13,11/15/23
QCOM,1.77,1.27,0.50,1.37,0.40,0.53,0.85,-0.32,0.96,-0.54,0.09,0.11,0.05,0.14,0.04,0.06,0.10,0.02,0.10,-0.04,0.50,0.49,0.51,0.51,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,104.00,69.00,35.00,49.00,55.00,0.00,11/18/13,11/16/23
HUM,1.11,0.66,0.45,1.41,-0.30,-1.00,-0.84,-0.16,0.90,-1.36,0.06,0.07,0.05,0.15,-0.04,0.02,0.01,0.03,0.10,-0.16,0.52,0.51,0.53,0.55,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,101.00,62.00,39.00,53.00,48.00,0.00,11/18/13,11/16/23
